,game_date,pts
41217,2015-03-25,80
41262,2015-03-27,92
41374,2015-04-01,98
41478,2015-04-05,101
41528,2015-04-08,86
41573,2015-04-10,91
41706,2015-04-15,90
41759,2015-10-29,101
41857,2015-11-02,84
41945,2015-11-06,92
41983,2015-11-08,99
42085,2015-11-13,84
42138,2015-11-15,95
42177,2015-11-17,102
42390,2015-11-27,78
42431,2015-11-29,111
42499,2015-12-02,99
42534,2015-12-04,108
42593,2015-12-07,97
42791,2015-12-16,107
42877,2015-12-19,107
42916,2015-12-21,99
43072,2015-12-29,108
43178,2016-01-03,111
43345,2016-01-10,100
43356,2016-01-12,120
43518,2016-01-18,119
43539,2016-01-20,118
43578,2016-01-22,88
43666,2016-01-26,122
43746,2016-01-29,102
43791,2016-01-31,95
43830,2016-02-02,89
43883,2016-02-05,85
43939,2016-02-07,96
43983,2016-02-09,108
44122,2016-02-22,95
44202,2016-02-26,108
44253,2016-02-28,81
44292,2016-03-01,85
44390,2016-03-05,102
44717,2016-03-20,80
44809,2016-03-24,106
44874,2016-03-26,93
45008,2016-04-01,105
45025,2016-04-03,87
45091,2016-04-06,97
45188,2016-04-10,89
45358,2016-10-29,111
45459,2016-11-02,99
45527,2016-11-06,109
45587,2016-11-09,110
45707,2016-11-14,93
45744,2016-11-16,105
45832,2016-11-20,104
45862,2016-11-22,107
45940,2016-11-25,113
45995,2016-11-28,103
46090,2016-12-02,118
46129,2016-12-04,106
46193,2016-12-07,94
46466,2016-12-20,118
46521,2016-12-22,106
46565,2016-12-25,114
46731,2017-01-02,103
46764,2017-01-04,104
46881,2017-01-09,96
46941,2017-01-12,104
47013,2017-01-16,107
47066,2017-01-19,110
47232,2017-01-27,110
47413,2017-02-04,104
47443,2017-02-06,107
47481,2017-02-08,115
47536,2017-02-10,123
47580,2017-02-12,94
47723,2017-02-25,110
47768,2017-02-27,91
47900,2017-03-05,105
48107,2017-03-14,87
48149,2017-03-16,110
48371,2017-03-27,109
48426,2017-03-29,88
48507,2017-04-02,94
48533,2017-04-04,100
48602,2017-04-06,103
48661,2017-04-09,97
48739,2017-04-12,114
48780,2018-10-17,126
48832,2018-10-20,101
48956,2018-10-26,100
49011,2018-10-29,115
49035,2018-10-31,101
49152,2018-11-05,115
49256,2018-11-11,89
49437,2018-11-20,114
49476,2018-11-23,114
49657,2018-12-01,136
49678,2018-12-03,107
49774,2018-12-08,104
49795,2018-12-09,107
49947,2018-12-17,110
50015,2018-12-21,107
50081,2018-12-25,95
50408,2019-01-11,106
50460,2019-01-13,105
50593,2019-01-21,109
50636,2019-01-23,110
50687,2019-01-27,97
50757,2019-01-30,90
50778,2019-02-01,99
50819,2019-02-03,84
50853,2019-02-05,92
50927,2019-02-09,99
51004,2019-02-13,111
51050,2019-02-22,104
51108,2019-02-24,130
51149,2019-02-26,108
51192,2019-02-28,118
51354,2019-03-09,94
51522,2019-03-17,124
51585,2019-03-20,116
51616,2019-03-22,93
51664,2019-03-24,113
51742,2019-03-28,92
51772,2019-03-30,92
51819,2019-04-01,113
51957,2019-04-07,113
51990,2019-04-10,89
52113,2019-10-26,95
52144,2019-10-28,105
52239,2019-11-03,92
52353,2019-11-10,87
52437,2019-11-14,106
52474,2019-11-16,102
52513,2019-11-18,123
52587,2019-11-23,104
52613,2019-11-24,101
52688,2019-11-29,95
52731,2019-12-01,104
52813,2019-12-05,92
52843,2019-12-07,103
53015,2019-12-17,143
53099,2019-12-21,102
53137,2019-12-23,115
53259,2020-01-01,117
53414,2020-01-10,111
53462,2020-01-12,124
53529,2020-01-16,98
53578,2020-01-18,87
53633,2020-01-22,92
53656,2020-01-24,112
53699,2020-01-26,110
53759,2020-01-29,106
53895,2020-02-06,105
54048,2020-02-21,98
54210,2020-02-29,125
54235,2020-03-02,125
54273,2020-03-04,104
54320,2020-03-06,103
54360,2020-03-08,96
54733,2020-12-26,89
54747,2020-12-27,130
54915,2021-01-06,112
