"X","first_name","last_name","official_id","fgm","fg_pct","fg3m","fg3_pct","ftm","ft_pct","oreb","dreb","reb","ast","stl","blk","tov","pf","pts","num_games","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
88,"Kevin","Fehr",1159,-0.785753429492152,-0.356341578317328,-0.801958599134162,-0.0469622550238668,-0.126493498449247,-0.0535050887963645,0.343256458534056,-0.808774997225618,-0.73068139709357,-0.946195583578146,-0.413286403758992,0.104368729451221,-0.111046928955798,-0.0361786139748148,-0.856967024863575,1192,2.9508022843596,-0.297545134211938,1.62398847029227,-0.293388229464119,-0.639886010687793,0.741924217970258,0.494261196857237,0.362424400861706,0.246056486266745,0.0406612575054149,0.127500960309484,0.0653524544894369,-0.00982370429005399,9.66057009479634e-16,1.59628751936805e-15
89,"Kevin","Scott",202041,0.606918679280924,0.301761525155252,0.505294545936726,0.187930864999785,-0.663185575294863,0.12694852888139,-0.598485763745389,0.691275301722785,0.433099434497815,0.520417977313007,0.346887407271326,-0.180401782885059,-0.178160276816304,-0.64050376047069,0.451594084796286,1150,-2.03036605382971,-0.980565227979231,-0.186751909610212,-0.799156479460787,0.593115288084231,-0.223320627110624,-0.194602249749964,-0.270941697884304,-0.0575615528612923,0.186241917616535,0.0325412863691489,-0.0647202371957104,0.0551322162360828,6.9775638488116e-16,6.9911318029355e-16
91,"Lauren","Holtkamp",203177,0.605715285114296,0.216171493234694,0.572796645781689,-0.129714638240786,-0.25342791358677,0.221068336270106,-0.643408102526751,0.947961725672938,0.705168425542745,0.356950219623672,0.482942277349377,0.0329872765089485,-0.351402568778574,-0.575089263429715,0.566527944064032,588,-1.95939005850752,-1.49332053434981,0.966558748462196,0.125531373772405,1.62681927531469,-0.679139346267185,0.548311997570455,-0.531009342378316,0.291615539298215,-0.231081994718767,0.0815151381693907,0.00853155052958861,-0.00964387901379341,1.35821313235401e-15,-1.56675349646918e-15
92,"Leon","Wood",1201,-0.0541756063591534,0.0958359249441666,-0.153241668227972,0.135228717072162,-0.122154046471488,0.0445205668396714,-0.150005165427944,-0.163369085418365,-0.285216071659177,-0.174931468849959,-0.107335100386568,-0.0240734957977173,-0.0932466709238758,0.170094641954544,-0.123165793326503,2178,0.724930322107807,-0.0888504753033654,0.203256793011628,0.0783661953322701,-0.125694289081737,0.273295495380148,0.22034673552118,-0.198460821270901,0.114415908288914,0.339467380202343,0.165912773688292,-0.0113634480521637,0.0222731284245137,2.60367187500826e-15,-2.38847969544452e-16
93,"Leroy","Richardson",1188,-0.349657929316837,-0.237932345285473,-0.350112015433272,0.0484042324341038,0.0842818770801067,-0.124497565846031,0.0827011137137692,-0.177725432515284,-0.156002138010403,-0.448017393092258,-0.406410660038035,0.164418115970822,0.113616991779986,0.0456367679055816,-0.348284318031752,1934,1.7621356041468,-0.366097284909856,0.950735440283085,0.639458398407966,-0.319431308793898,0.701847543690288,-0.352181992480261,0.0271323532871231,0.111998546997574,-0.297628115393066,-0.020564229389718,-0.0374474030405418,0.0512388322521682,8.27827912210563e-16,-3.07626929441702e-16
94,"Luis","Grillo",1165,-1.04056713854669,-0.319999160726458,-0.859661626246143,0.158294841775022,1.14791705863399,-0.242089725857344,0.392634701909745,-1.0810782339389,-1.01822212223382,-1.05907901066468,-0.527178641996105,-0.902966334470135,0.382020229929504,1.58848270421694,-0.769217274405538,640,4.79579398683437,2.93281601450125,-0.710938538796713,0.410413176909147,0.616251212621165,-0.511784134589613,-0.601107792390048,0.462457565382067,0.181307050188012,0.0670839926870434,0.135426029127424,0.088749456776663,-0.0264835890389377,1.24089335348794e-15,1.28512993684762e-15
95,"Marat","Kogut",201245,0.271357077329624,0.197551662399861,0.312708565599236,0.29945101183004,-0.267822606782952,0.190179675095817,-0.351108511751826,0.282492897336731,0.11014512000609,0.184179233583872,-0.126651670195605,-0.0669404323837704,-0.198779648587332,-0.338764048301778,0.243193372031545,1366,-0.914039463709554,-0.0824102817845331,-0.154689292857838,-0.0326258599780295,-0.572516427502823,0.156584093264467,-0.138219364515892,0.0811296441804693,0.110964980476227,-0.00313461612258731,0.0716143198968438,0.00840552576691552,-0.00168756168403874,-1.28311093875659e-15,-1.68402741806488e-15
96,"Marc","Davis",1830,-0.0722649507101556,-0.0160891680199025,-0.112482426132989,0.10998995394607,-0.121818714609021,0.0427345211767873,0.0653744099724615,-0.0758693442967588,-0.0477289906000037,-0.174572598548285,-0.105311011370224,-0.00672196336040689,-0.230074548551563,-0.451332974028578,-0.118248174978801,2330,0.458998724499748,-0.479960211057505,0.686975886119578,-0.181322930532103,-0.341440270098131,0.0120342821436454,0.260272683904988,0.159403062990044,-0.138804685605819,-0.321050513248479,0.0106810955078237,0.000344344781614122,0.0103124384353991,-7.51667607242265e-16,1.20717423621599e-15
97,"Mark","Ayotte",2148,0.00934534526808061,0.135469007016897,-0.173095968139711,0.103032159718954,-0.05617793787166,-0.306974119070724,0.00814368236385433,-0.0610227665882162,-0.0662707625325347,-0.197664696998334,-0.0238560242484858,-0.312199062049384,-0.371009919059744,-0.0673676216071966,-0.0761002469781862,1830,0.697224433906344,0.179972434642482,0.541072368600137,-0.584547821752634,0.0374757454841362,-0.71108058124453,-0.112063702976452,-0.679081309254164,-0.511453097867165,-0.0765828087529476,0.0587110514620008,0.00567911212987147,0.0205649645964941,2.07289333874612e-15,2.09461178407917e-15
98,"Mark","Lindsay",200834,0.185839268235638,0.146305146464863,0.133347044847337,0.233672086920575,-0.403812972082754,0.0836369141801179,-0.283591065982491,0.206549893965498,0.0636745740785508,0.120025262643858,-0.00611479475502497,-0.041477314385289,-0.200017542343197,-0.578156879661663,0.0863209816776405,1616,-0.652847372627904,-0.571680332054691,0.103241921533388,-0.500180180591908,-0.423056181984542,0.150641047966797,-0.0329283471136713,-0.0268407491969977,-0.00427561030551672,-0.0844363655812244,-0.0218966926828815,-0.0543802722030935,0.0207051258048749,1.73931425220562e-16,1.2821319686559e-17
